"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8JPJ7J9P","journalArticle","2015","Bornschlegl, M.; Kreitlein, S.; Bregulla, M.; Franke, J.","A Method for Forecasting the Running Costs of Manufacturing Technologies in Automotive Production during the Early Planning Phase","Procedia CIRP","","2212-8271","10.1016/j.procir.2014.07.103","\url{https://www.sciencedirect.com/science/article/pii/s2212827114009160}","","2015","2021-11-22 11:44:02","2022-08-06 04:58:22","","412–417","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XRSATWB","bookSection","2011","Brank, Janez; Mladenić, Dunja; Grobelnik, Marko; Liu, Huan; Flach, Peter A.; Garriga, Gemma C.; Toivonen, Hannu","Feature Selection","Encyclopedia of machine learning","978-0-387-30768-8","","","","","2011","2021-11-22 11:44:02","2022-08-06 04:58:24","","402–406","","","","","","","Springer reference","","","","Springer","New York, NY","","","","","","","","DOI: 10.1007/978-0-387-30164-8‗ 306","","","","","","Sammut, Claude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATYP5BGU","journalArticle","2021","Carta, Salvatore M.; Consoli, Sergio; Piras, Luca; Podda, Alessandro Sebastian; Recupero, Diego Reforgiato","Explainable Machine Learning Exploiting News and Domain-Specific Lexicon for Stock Market Forecasting","IEEE Access","","","10.1109/ACCESS.2021.3059960","","","2021","2021-11-22 11:44:03","2022-08-06 04:58:25","","30193–30205","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJK3SR3W","journalArticle","2009","Chandola, Varun; Banerjee, Arindam; Kumar, Vipin","Anomaly detection","ACM Computing Surveys","","0360-0300","10.1145/1541880.1541882","","Anomaly detection is an important problem that has been researched within diverse research areas and application domains. Many anomaly detection techniques have been specifically developed for cert...","2009","2021-11-22 11:44:03","2022-08-06 04:58:26","","1–58","","3","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVKQY28I","journalArticle","2011","Chougule, Rahul; Rajpathak, Dnyanesh; Bandyopadhyay, Pulak","An integrated framework for effective service and repair in the automotive domain: An application of association mining and case-based-reasoning","Computers in Industry","","0166-3615","10.1016/j.compind.2011.05.007","\url{https://www.sciencedirect.com/science/article/pii/s0166361511000728}","","2011","2021-11-22 11:44:03","2022-08-06 04:58:27","","742–754","","7","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L8FDM62U","book","2016","","Proceedings of the 2016 Federated Conference on Computer Science and Information Systems: September 11-14, 2016, Gdańsk, Poland","","978-83-60810-90-3","","","","","2016","2021-11-22 11:44:03","2022-08-06 05:02:48","","","","","","","","","","","","","IEEE","Piscataway, NJ","","","","","","","","Backup Publisher: Federated Conference on Computer Science and Information Systems and Polskie Towarzystwo Informatyczne and Institute of Electrical and Electronics Engineers and FedCSIS","","","","","","Ganzha, Maria; Maciaszek, Leszek; Paprzycki, Marcin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLD84PGC","journalArticle","2002","Gerwin, Donald; Barrowman, Nicholas J.","An Evaluation of Research on Integrated Product Development","Management Science","","","10.1287/mnsc.48.7.938.2818","","Integrated Product Development (IPD) creates overlap and interaction between activities in the new product development process and, because this increases the need to coordinate, compensates throug...","2002","2021-11-22 11:44:03","2022-08-06 04:59:22","","938–953","","7","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8C3VNDX","journalArticle","2019","Gordon, Lauren; Grantcharov, Teodor; Rudzicz, Frank","Explainable Artificial Intelligence for Safe Intraoperative Decision Support","JAMA surgery","","","10.1001/jamasurg.2019.2821","","","2019","2021-11-22 11:44:03","2022-08-06 04:59:23","","1064–1065","","11","154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28238QAZ","book","2014","Görz, Günther; Schneeberger, Josef; Schmid, Ute","Handbuch der künstlichen Intelligenz","","978-3-486-71307-7","","","","Diese umfassendste deutschsprachige Übersicht über die wissenschaftliche Disziplin \textquotedblKünstliche Intelligenz\textquotedbl erschien erstmalig 1993 (\textquotedblEinführung in die Künstliche Intelligenz\textquotedbl, ID-G 20/93). Zuletzt angezeigt wurde die 3. Auflage (ID-G 48/00). Mit dieser Neufassung entsprechen Herausgeber und Autoren (teilweise neu) dem Wunsch nach einem in der Lehre besser einsetzbaren Handbuch. Nunmehr gliedert sich der Inhalt in die 3 Teile: Grundlagen, Theorien und Methoden sowie Anwendungen. 17 Kapitel sind diesen 3 Teilen zugeordnet. Jene, die aus der Vorauflage stammen, weisen erhebliche Überarbeitungen auf. 3 Kapitel sind komplett neu. Hier sei nur stellvertretend das Kapitel zur Sprachverarbeitung genannt, das \textquotedblnunmehr mit einem repräsentativen Übersichtskapitel vertreten ist\textquotedbl. Des Weiteren weist das gesamte Werk eine deutliche Straffung auf (373 Seiten weniger). Zur Wissensvertiefung folgt jedem Kapitel ein aktuelles Literaturverzeichnis. Index und Inhaltsverzeichnis erlauben einen selektiven Zugang. Vorauflagen ersetzen. Nach der Einführung von W. Ertel (ID-B 46/13), neben S. Russell (ID-G 31/12). (3)","2014","2021-11-22 11:44:03","2022-08-06 04:59:24","","","","","","","","","","","","","Oldenbourg","München","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5., überarb. und aktualisierte Aufl.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJSS2F99","journalArticle","2015","Gulwani, Sumit; Hernández-Orallo, José; Kitzelmann, Emanuel; Muggleton, Stephen H.; Schmid, Ute; Zorn, Benjamin","Inductive programming meets the real world","Communications of the ACM","","0001-0782","10.1145/2736282","","","2015","2021-11-22 11:44:03","2022-08-06 04:59:25","","90–99","","11","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6L2KDYD","journalArticle","2019","Gunning, David; Stefik, Mark; Choi, Jaesik; Miller, Timothy; Stumpf, Simone; Yang, Guang-Zhong","XAI-Explainable artificial intelligence","Science robotics","","","10.1126/scirobotics.aay7120","","Explainability is essential for users to effectively understand, trust, and manage powerful artificial intelligence applications.","2019","2021-11-22 11:44:03","2022-08-06 04:59:26","","","","37","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9FEUAW6","journalArticle","2014","Gupta, Rajan; Pathak, Chaitanya","A Machine Learning Framework for Predicting Purchase by Online Customers based on Dynamic Pricing","Procedia Computer Science","","1877-0509","10.1016/j.procs.2014.09.060","\url{https://www.sciencedirect.com/science/article/pii/s187705091401309x}","","2014","2021-11-22 11:44:03","2022-08-06 04:59:30","","599–605","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQR9ISBK","conferencePaper","2019","Heimerl, Alexander; Baur, Tobias; Lingenfelser, Florian; Wagner, Johannes; Andre, Elisabeth","NOVA - A tool for eXplainable Cooperative Machine Learning","2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII)","978-1-72813-888-6","","10.1109/ACII.2019.8925519","","","2019","2021-11-22 11:44:03","2022-08-06 04:59:32","","109–115","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBXDCBNX","book","2017","Hofmann, Martin; Neukart, Florian; Bäck, Thomas","Artificial Intelligence and Data Science in the Automotive Industry","","","","","","Data science and machine learning are the key technologies when it comes to the processes and products with automatic learning and optimization to be used in the automotive industry of the future. This article defines the terms \textquotedbldata science\textquotedbl (also referred to as \textquotedbldata analytics\textquotedbl) and \textquotedblmachine learning\textquotedbl and how they are related. In addition, it defines the term \textquotedbloptimizing analytics\textquotedbl and illustrates the role of automatic optimization as a key technology in combination with data analytics. It also uses examples to explain the way that these technologies are currently being used in the automotive industry on the basis of the major subprocesses in the automotive value chain (development, procurement; logistics, production, marketing, sales and after-sales, connected customer). Since the industry is just starting to explore the broad range of potential uses for these technologies, visionary application examples are used to illustrate the revolutionary possibilities that they offer. Finally, the article demonstrates how these technologies can make the automotive industry more efficient and enhance its customer focus throughout all its operations and activities, extending from the product and its development process to the customers and their connection to the product.","2017","2021-11-22 11:44:03","2022-08-06 04:59:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETDFJ9HC","book","2008","Inmon, William H.; Nesavich, Anthony","Tapping into unstructured data: Integrating unstructured data and textual analytics into business intelligence","","0-13-713688-9","","","\url{http://proquest.tech.safaribooksonline.de/9780137136889}","","2008","2021-11-22 11:44:03","2022-08-06 04:59:52","","","","","","","","","Safari Books Online","","","","Prentice Hall","Upper Saddle River, N.J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCBVTVX9","book","2004","J. Polpinij","Automotive Market Segmentation by Machine Learning","","","","","","Due to competitive market, many firms operators areconstantly searching for alternative methods tosupplement their income.","2004","2021-11-22 11:44:03","2022-08-06 04:59:53","","","","","","","","","","","","","ACTA Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW5RDLY5","book","2016","","2016 IEEE International Conference on Big Data: Dec 05-Dec 08, 2015, Washington D.C., USA : proceedings","","978-1-4673-9005-7","","","","","2016","2021-11-22 11:44:03","2022-08-06 05:00:05","","","","","","","","","","","","","IEEE","Piscataway, NJ","","","","","","","","Backup Publisher: IEEE International Conference on Big Data and Institute of Electrical and Electronics Engineers and IEEE Computer Society and Big Data and IEEE BigData Workshop on Big Data for Cloud Operations Management (BDCOM) and International Workshop on Big Data for Sustainable Development and Big Data and Analytics for Emergency Management and Public Safety and Workshop on Advances in Software and Hardware for Big Data to Knowledge Discovery (ASH) and International Workshop on Distributed Storage Systems and Coding for Big Data (DSSCB) and Workshop on Open Science in Big Data (OSBD) and Workshop on Real-time & Stream Analytics in Big Data and Workshop Application of Big Data for Computational Social Science and Methods to Manage Heterogeneous Big Data and Polystore Databases and IEEE International Workshop on Big Spatial Data (BSD) and IEEE Workshop on Big Data and Machine Learning in Telecom (BMLIT) and Workshop on Scalable Cloud Data Management (SCDM) and International Workshop on Methodologies to Improve Big Data Projects and Big Data Challenges, Research, and Technologies in the Earth and Planetary Sciences and IEEE Workshop on Big Data Metadata and Management (BDMM) and Workshop on Big Data in Smart Grids (BDSG) and Solar & Stellar Astronomy Big Data Workshop on Management, Search and Mining of Massive Repositories of Solar and Stellar Astronomy Data (SABiD) and Computational Archival Science: digital records in the age of big data and International Workshop on High Performance Big Graph Data (BigGraphs) and Big Data Analytic Technology for Bioinformatics and Health Informatics Workshop (KDDBHI) and International Workshop on Pattern Mining and Application of Big Data (BigPMA) and Advances in High Dimensional Big Data Workshop and International Workshop on Privacy and Security of Big Data (PSBD) and IEEE Workshop on Big Data Analytics in Manufacturing and Supply Chains and Workshop on Textual Customer Feedback Mining and Transfer Learning and Big Data and Natural Language Processing Workshop (BigNLP)","","","","","","Joshi, James","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PL2GLXKD","conferencePaper","2016","Karapınar, Hasan Can; Altay, Ayca; Kayakutlu, Gülgün","Churn Detection and Prediction in Automotive Supply Industry","Proceedings of the 2016 Federated Conference on Computer Science and Information Systems","978-83-60810-90-3","","10.15439/2016f245","","","2016","2021-11-22 11:44:03","2022-08-06 05:00:08","","","","","","","","","","","","","IEEE","Piscataway, NJ","","","","","","","","","","","","","","Ganzha, Maria; Maciaszek, Leszek; Paprzycki, Marcin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T565SGT5","journalArticle","2017","Khodabandehlou, Samira; Zivari Rahman, Mahmoud","Comparison of supervised machine learning techniques for customer churn prediction based on analysis of customer behavior","Journal of Systems and Information Technology","","1328-7265","10.1108/JSIT-10-2016-0061","\url{https://www.emerald.com/insight/content/doi/10.1108/jsit-10-2016-0061/full/pdf}","This paper aims to provide a predictive framework of customer churn through six stages for accurate prediction and preventing customer churn in the field of business.,The six stages are as follows: first, collection of customer behavioral data and preparation of the data; second, the formation of derived variables and selection of influential variables, using a method of discriminant analysis; third, selection of training and testing data and reviewing their proportion; fourth, the development of prediction models using simple, bagging and boosting versions of supervised machine learning; fifth, comparison of churn prediction models based on different versions of machine-learning methods and selected variables; and sixth, providing appropriate strategies based on the proposed model.,According to the results, five variables, the number of items, reception of returned items, the discount, the distribution time and the prize beside the recency, frequency and monetary (RFM) variables (RFMITSDP), were chosen as the best predictor variables. The proposed model with accuracy of 97.92 per cent, in comparison to RFM, had much better performance in churn prediction and among the supervised machine learning methods, artificial neural network (ANN) had the highest accuracy, and decision trees (DT) was the least accurate one. The results show the substantially superiority of boosting versions in prediction compared with simple and bagging models.,The period of the available data was limited to two years. The research data were limited to only one grocery store whereby it may not be applicable to other industries; therefore, generalizing the results to other business centers should be used with caution.,Business owners must try to enforce a clear rule to provide a prize for a certain number of purchased items. Of course, the prize can be something other than the purchased item. Business owners must accept the items returned by the customers for any reasons, and the conditions for accepting returned items and the deadline for accepting the returned items must be clearly communicated to the customers. Store owners must consider a discount for a certain amount of purchase from the store. They have to use an exponential rule to increase the discount when the amount of purchase is increased to encourage customers for more purchase. The managers of large stores must try to quickly deliver the ordered items, and they should use equipped and new transporting vehicles and skilled and friendly workforce for delivering the items. It is recommended that the types of services, the rules for prizes, the discount, the rules for accepting the returned items and the method of distributing the items must be prepared and shown in the store for all the customers to see. The special services and reward rules of the store must be communicated to the customers using new media such as social networks. To predict the customer behaviors based on the data, the future researchers should use the boosting method because it increases efficiency and accuracy of prediction. It is recommended that for predicting the customer behaviors, particularly their churning status, the ANN method be used. To extract and select the important and effective variables influencing customer behaviors, the discriminant analysis method can be used which is a very accurate and powerful method for predicting the classes of the customers.,The current study tries to fill this gap by considering five basic and important variables besides RFM in stores, i.e. prize, discount, accepting returns, delay in distribution and the number of items, so that the business owners can understand the role services such as prizes, discount, distribution and accepting returns play in retraining the customers and preventing them from churning. Another innovation of the current study is the comparison of machine-learning methods with their boosting and bagging versions, especially considering the fact that previous studies do not consider the bagging method. The other reason for the study is the conflicting results regarding the superiority of machine-learning methods in a more accurate prediction of customer behaviors, including churning. For example, some studies introduce ANN (Huang et al., 2010; Hung and Wang, 2004; Keramati et al., 2014; Runge et al., 2014), some introduce support vector machine ( Guo-en and Wei-dong, 2008; Vafeiadis et al., 2015; Yu et al., 2011) and some introduce DT (Freund and Schapire, 1996; Qureshi et al., 2013; Umayaparvathi and Iyakutti, 2012) as the best predictor, confusing the users of the results of these studies regarding the best prediction method. The current study identifies the best prediction method specifically in the field of store businesses for researchers and the owners. Moreover, another innovation of the current study is using discriminant analysis for selecting and filtering variables which are important and effective in predicting churners and non-churners, which is not used in previous studies. Therefore, the current study is unique considering the used variables, the method of comparing their accuracy and the method of selecting effective variables.","2017","2021-11-22 11:44:03","2022-08-06 05:00:09","","65–93","","1/2","19","","","","","","","","","","","","","","","","","","","","https://www.emerald.com/insight/content/doi/10.1108/jsit-10-2016-0061/full/pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSR6393A","journalArticle","2015","Lei, Ningrong; Moon, Seung Ki","A Decision Support System for market-driven product positioning and design","Decision Support Systems","","0167-9236","10.1016/j.dss.2014.11.010","\url{https://www.sciencedirect.com/science/article/pii/s0167923614002772}","","2015","2021-11-22 11:44:03","2022-08-06 05:00:11","","82–91","","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQR3TQGK","book","2020","","Encyclopedia of Database Systems","","978-1-4899-7993-3","","","","This revised and expanded edition of Encyclopedia of Database Systems provides easy access to crucial concepts relevant to all aspects of very large databases, data management, and database systems, including areas of current interest and research results of historical significance. This comprehensive reference is organized alphabetically and each entry presents basic terminology, concepts, methods and algorithms, key results to date, references to the literature, and cross-references to other entries. Topics for the encyclopedia-including areas of current interest as well as research results of historical significance-were selected by a distinguished international advisory board and written by world-class experts in the field. New entries that reflect recent developments and technological advances in very large databases include: big data, big data technology, cloud computing, cloud data centers, business analytics, social networks, ranking, trust management, query over encrypted data, and more. Entirely new entries include database systems, relational database systems, databases, multimedia databases, bioinformatics, workflow systems, and web data management. Encyclopedia of Database Systems, 2nd edition, is designed to meet the needs of researchers, professors, graduate and undergraduate students in computer science and engineering. Industry professionals, from database specialists to software developers, will also benefit from this valuable reference work.","2020","2021-11-22 11:44:03","2022-08-06 05:00:18","","","","","","","","","","","","","Springer New York and Imprint: Springer","New York, NY","","","","","","","","DOI: 10.1007/978-1-4899-7993-3","","","","","","Liu, Ling; Özsu, M. Tamer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V84MB4E8","conferencePaper","2016","Luckow, Andre; Cook, Matthew; Ashcraft, Nathan; Weill, Edwin; Djerekarov, Emil; Vorster, Bennie","Deep learning in the automotive industry: Applications and tools","2016 IEEE International Conference on Big Data","978-1-4673-9005-7","","10.1109/BigData.2016.7841045","","","2016","2021-11-22 11:44:03","2022-08-06 05:00:19","","3759–3768","","","","","","","","","","","IEEE","Piscataway, NJ","","","","","","","","","","","","","","Joshi, James","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T84VQQTG","conferencePaper","2016","Matsumoto, Mitsutaka; Umeda, Yasushi; Tsuchiya, Shuto; Li Tang","Development of demand forecasting model for automotive electric component remanufacturing","2016 Electronics Goes Green 2016+ (EGG)","","","10.1109/egg.2016.7829817","","","2016","2021-11-22 11:44:03","2022-08-06 05:00:24","","","","","","","","","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RPX8LLW","journalArticle","2016","Meinzer, Stefan; Jensen, Ulf; Thamm, Alexander; Hornegger, Joachim; Eskofier, Björn M.","Can machine learning techniques predict customer dissatisfaction? A feasibility study for the automotive industry","Artificial Intelligence Research","","1927-6982","10.5430/air.v6n1p80","","","2016","2021-11-22 11:44:03","2022-08-06 05:00:25","","80","","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ8D3UMA","journalArticle","2011","Moench, Emanuel; Ng, Serena","A hierarchical factor analysis of U.S. housing market dynamics","The Econometrics Journal","","1368-4221","10.1111/j.1368-423X.2010.00319.x","","Summary. This paper studies the linkages between housing and consumption in the United States taking into account regional variation. We estimate national and r","2011","2021-11-22 11:44:03","2022-08-06 05:00:27","","C1-C24","","1","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VQ8VFJX","book","2009","Pearl, Judea","Causality: Models, reasoning, and inference","","978-0-521-77362-1","","","","","2009","2021-11-22 11:44:03","2022-08-06 05:00:31","","","","","","","","","","","","","Univ. Press","Cambridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9. print","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWCU6TJV","journalArticle","2013","Porter, Reid; Theiler, James; Hush, Don","Interactive Machine Learning in Data Exploitation","Computing in Science & Engineering","","1521-9615","10.1109/MCSE.2013.74","","","2013","2021-11-22 11:44:03","2022-08-06 05:00:33","","12–20","","5","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
